,CurTime,Last,Ask,Bid
1295,2023-06-09T17:05:50Z,246.53,246.54,246.51
1296,2023-06-09T17:06:00Z,246.5,246.52,246.48
1297,2023-06-09T17:06:10Z,246.25,246.28,246.24
1298,2023-06-09T17:06:20Z,246.22,246.27,246.23
1299,2023-06-09T17:06:30Z,246.2841,246.29,246.25
1300,2023-06-09T17:06:40Z,246.25,246.28,246.23
1301,2023-06-09T17:06:50Z,246.18,246.18,246.15
1302,2023-06-09T17:07:00Z,246.22,246.23,246.19
1303,2023-06-09T17:07:10Z,246.5415,246.56,246.54
1304,2023-06-09T17:07:20Z,246.71,246.72,246.69
1305,2023-06-09T17:07:30Z,247.0172,247.03,247.0
1306,2023-06-09T17:07:40Z,246.8,246.8,246.78
1307,2023-06-09T17:07:50Z,246.83,246.85,246.82
1308,2023-06-09T17:08:00Z,246.7716,246.8,246.77
1309,2023-06-09T17:08:10Z,246.8351,246.85,246.82
1310,2023-06-09T17:08:20Z,246.97,247.0,246.97
1311,2023-06-09T17:08:30Z,247.09,247.1,247.06
1312,2023-06-09T17:08:40Z,247.1401,247.16,247.15
1313,2023-06-09T17:08:50Z,247.15,247.15,247.12
1314,2023-06-09T17:09:00Z,247.0599,247.06,247.03
1315,2023-06-09T17:09:10Z,247.16,247.17,247.15
1316,2023-06-09T17:09:20Z,247.25,247.26,247.24
1317,2023-06-09T17:09:30Z,247.22,247.23,247.19
1318,2023-06-09T17:09:40Z,247.28,247.29,247.27
1319,2023-06-09T17:09:50Z,247.2885,247.29,247.27
1320,2023-06-09T17:10:00Z,247.3885,247.4,247.37
1321,2023-06-09T17:10:10Z,247.4,247.41,247.38
1322,2023-06-09T17:10:20Z,247.21,247.23,247.2
1323,2023-06-09T17:10:30Z,247.0987,247.11,247.09
1324,2023-06-09T17:10:40Z,247.03,247.03,247.0
1325,2023-06-09T17:10:50Z,247.1499,247.15,247.11
1326,2023-06-09T17:11:00Z,247.03,247.06,247.03
1327,2023-06-09T17:11:10Z,246.875,246.89,246.85
1328,2023-06-09T17:11:20Z,246.82,246.82,246.78
1329,2023-06-09T17:11:30Z,246.9,246.91,246.88
1330,2023-06-09T17:11:40Z,247.04,247.06,247.02
1331,2023-06-09T17:11:50Z,246.77,246.81,246.77
1332,2023-06-09T17:12:00Z,246.7116,246.75,246.71
1333,2023-06-09T17:12:10Z,246.52,246.53,246.51
1334,2023-06-09T17:12:20Z,246.69,246.69,246.65
1335,2023-06-09T17:12:30Z,246.5901,246.61,246.59
1336,2023-06-09T17:12:40Z,246.7,246.7,246.68
1337,2023-06-09T17:12:50Z,246.6,246.63,246.59
1338,2023-06-09T17:13:00Z,246.605,246.62,246.59
1339,2023-06-09T17:13:10Z,246.655,246.67,246.64
1340,2023-06-09T17:13:20Z,246.79,246.81,246.78
1341,2023-06-09T17:13:30Z,246.855,246.85,246.82
1342,2023-06-09T17:13:40Z,246.8083,246.81,246.77
1343,2023-06-09T17:13:50Z,246.865,246.88,246.85
1344,2023-06-09T17:14:00Z,246.885,246.91,246.87
1345,2023-06-09T17:14:10Z,246.945,246.96,246.93
1346,2023-06-09T17:14:20Z,246.89,246.9,246.89
1347,2023-06-09T17:14:30Z,246.84,246.84,246.81
1348,2023-06-09T17:14:40Z,246.83,246.84,246.82
