,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
2049,0.15,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1549,0.175,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1649,0.16999999999999998,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1749,0.16499999999999998,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1949,0.155,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1849,0.16,0.0050000000000000044,-1.5700000000000216,0.45000000000001705,-0.21000000000000796,-2.3700000000000045,1.4700000000000273,-0.7799999999999727,-0.36000000000001364,-1.579999999999984,3.839999999999975,-5.569999999999993,-1.9300000000000637,-8.610000000000042
1439,0.18,0.05499999999999999,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.579999999999984,3.769999999999982,-5.759999999999991,-1.6800000000000637,-8.61000000000007
3730,0.065,0.1,-1.6000000000000227,0.9800000000000466,-0.14000000000001478,-3.420000000000016,2.0699999999999363,-1.0699999999999363,-0.2900000000000773,-1.3700000000000045,3.9599999999999795,-5.960000000000036,-1.7700000000000387,-8.610000000000184
8435,-0.16999999999999998,0.07500000000000001,-1.1799999999999784,-1.1600000000001103,-0.6799999999998931,-1.0999999999998522,-0.7599999999998772,-0.4699999999997999,-0.7899999999999636,-0.6500000000000341,-1.1500000000002046,-0.8699999999997203,0.1899999999998272,-8.619999999999607
1312,0.185,0.19,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
826,0.21,0.12,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
1229,0.19,0.10500000000000001,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
822,0.21,0.14,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
816,0.21,0.16999999999999998,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
823,0.21,0.135,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
824,0.21,0.13,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
825,0.21,0.125,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
